id,doi,publisher,database,url,domain,algorithm_type,training_schema,algorithm_goal,architecture,title,abstract
1,10.1016/J.ROBOT.2020.103472,North-Holland,project-academic,project-academic,robotics,supervised,batch,classification,not defined,deploying mavs for autonomous navigation in dark underground mine environments," Abstract None None Operating Micro Aerial Vehicles (MAVs) in subterranean environments is becoming more and more relevant in the field of aerial robotics. Despite the large spectrum of technological advances in the field, flying in such challenging environments is still an ongoing quest that requires the combination of multiple sensor modalities like visual/thermal cameras as well as 3D and 2D lidars. Nevertheless, there exist cases in subterranean environments where the aim is to deploy fast and lightweight aerial robots for area reckoning purposes after an event (e.g. blasting in production areas). This work proposes a novel baseline approach for the navigation of resource constrained robots, introducing the aerial underground scout, with the main goal to rapidly explore unknown areas and provide a feedback to the operator. The main proposed framework focuses on the navigation, control and vision capabilities of the aerial platforms with low-cost sensor suites, contributing significantly towards real-life applications. The merit of the proposed control architecture is that it considers the flying platform as a floating object, composing a velocity controller on the None None None x None None , None None None y None None None axes and altitude control to navigate along the tunnel. Two novel approaches make up the cornerstone of the proposed contributions for the task of navigation: (1) a vector geometry method based on 2D lidar, and (2) a Deep Learning (DL) method through a classification process based on an on-board image stream, where both methods correct the heading towards the center of the mine tunnel. Finally, the framework has been evaluated in multiple field trials in an underground mine in Sweden."
2,10.1109/PerCom.2014.6813937,IEEE,ieeexplore,https://ieeexplore.ieee.org/document/6813937/,multimedia,supervised,batch,classification,centralised,"kintense: a robust, accurate, real-time and evolving system for detecting aggressive actions from streaming 3d skeleton data","Kintense is a robust, accurate, real-time, and evolving system for detecting aggressive actions such as hitting, kicking, pushing, and throwing from streaming 3D skeleton joint coordinates obtained from Kinect sensors. Kintense uses a combination of: (1) an array of supervised learners to recognize a predefined set of aggressive actions, (2) an unsupervised learner to discover new aggressive actions or refine existing actions, and (3) human feedback to reduce false alarms and to label potential aggressive actions. This paper describes the design and implementation of Kintense and provides empirical evidence that the system is 11% - 16% more accurate and 10% - 54% more robust to changes in distance, body orientation, speed, and person when compared to standard techniques such as dynamic time warping (DTW) and posture based gesture recognizers. We deploy Kintense in two multi-person households and demonstrate how it evolves to discover and learn unseen actions, achieves up to 90% accuracy, runs in real-time, and reduces false alarms with up to 13 times fewer user interactions than a typical system."
3,10.1109/FUZZ48607.2020.9177654,IEEE,project-academic,project-academic,robotics,not defined,not defined,not defined,not defined,ai fml agent for robotic game of go and aiot real world co learning applications," In this paper, we propose an AI-FML agent for robotic game of Go and AIoT real-world co-learning applications. The fuzzy machine learning mechanisms are adopted in the proposed model, including fuzzy markup language (FML)-based genetic learning (GFML), eXtreme Gradient Boost (XGBoost), and a seven-layered deep fuzzy neural network (DFNN) with backpropagation learning, to predict the win rate of the game of Go as Black or White. This paper uses Google AlphaGo Master sixty games as the dataset to evaluate the performance of the fuzzy machine learning, and the desired output dataset were predicted by Facebook AI Research (FAIR) ELF Open Go AI bot. In addition, we use IEEE 1855 standard for FML to describe the knowledge base and rule base of the Open Go Darkforest (OGD) prediction platform in order to infer the win rate of the game. Next, the proposed AI-FML agent publishes the inferred result to communicate with the robot Kebbi Air based on MQTT protocol to achieve the goal of human and smart machine co-learning. From Sept. 2019 to Jan. 2020, we introduced the AI-FML agent into the teaching and learning fields in Taiwan. The experimental results show the robots and students can co-learn AI tools and FML applications effectively. In addition, XGBoost outperforms the other machine learning methods but DFNN has the most obvious progress after learning. In the future, we hope to deploy the AI-FML agent to more available robot and human co-learning platforms through the established AI-FML International Academy in the world."
4,10.1109/SACI.2007.375494,IEEE,ieeexplore,https://ieeexplore.ieee.org/document/4262496/,robotics,not defined,not defined,not defined,not defined,fpga parallel implementation of cmac type neural network with on chip learning,"The hardware implementation of neural networks is a new step in the evolution and use of neural networks in practical applications. The CMAC cerebellar model articulation controller is intended especially for hardware implementation, and this type of network is used successfully in the areas of robotics and control, where the real time capabilities of the network are of particular importance. The implementation of neural networks on FPGA's has several benefits, with emphasis on parallelism and the real time capabilities. This paper discusses the hardware implementation of the CMAC type neural network, the architecture and parameters and the functional modules of the hardware implemented neuro-processor."
5,10.1109/TRO.2021.3084374,'Institute of Electrical and Electronics Engineers (IEEE)',core,http://arxiv.org/abs/2106.09357,robotics,supervised,batch,classification,not defined,"cat-like jumping and landing of legged robots in low-gravity using deep
  reinforcement learning","In this article, we show that learned policies can be applied to solve legged
locomotion control tasks with extensive flight phases, such as those
encountered in space exploration. Using an off-the-shelf deep reinforcement
learning algorithm, we trained a neural network to control a jumping quadruped
robot while solely using its limbs for attitude control. We present tasks of
increasing complexity leading to a combination of three-dimensional
(re-)orientation and landing locomotion behaviors of a quadruped robot
traversing simulated low-gravity celestial bodies. We show that our approach
easily generalizes across these tasks and successfully trains policies for each
case. Using sim-to-real transfer, we deploy trained policies in the real world
on the SpaceBok robot placed on an experimental testbed designed for
two-dimensional micro-gravity experiments. The experimental results demonstrate
that repetitive, controlled jumping and landing with natural agility is
possible.Comment: Published in IEEE Transactions on Robotics:
  https://ieeexplore.ieee.org/document/9453856 Video:
  https://youtu.be/KQhlZa42fe"
6,10.1109/JBHI.2020.3035776,,project-academic,project-academic,health,supervised,batch,classification,centralised,wearable respiration monitoring interpretable inference with context and sensor biomarkers," Breathing rate (BR), minute ventilation (VE), and other respiratory parameters are essential for real-time patient monitoring in many acute health conditions, such as asthma. The clinical standard for measuring respiration, namely Spirometry, is hardly suitable for continuous use. Wearables can track many physiological signals, like ECG and motion, yet not respiration. Deriving respiration from other modalities has become an area of active research. In this work, we infer respiratory parameters from wearable ECG and wrist motion signals. We propose a modular and generalizable classification-regression pipeline to utilize available context information, such as physical activity, in learning context-conditioned inference models. Morphological and power domain novel features from the wearable ECG are extracted to use with these models. Exploratory feature selection methods are incorporated in this pipeline to discover application-specific interpretable biomarkers. Using data from 15 subjects, we evaluate two implementations of the proposed pipeline: for inferring BR and VE. Each implementation compares generalized linear model, random forest, support vector machine, Gaussian process regression, and neighborhood component analysis as contextual regression models. Permutation, regularization, and relevance determination methods are used to rank the ECG features to identify robust ECG biomarkers across models and activities. This work demonstrates the potential of wearable sensors not only in continuous monitoring, but also in designing biomarker-driven preventive measures."
7,10.1109/MOCAST49295.2020.9200283,IEEE,ieeexplore,https://ieeexplore.ieee.org/document/9200283/,smart cities,supervised,batch,classification,centralised,a cloud based smart recycling bin for waste classification,"Due to the Earth's population rapid growth along with the modern lifestyle the urban waste constantly increases. People consume more and the products are designed to have shorter lifespans. Recycling is the only way to make a sustainable environment. The process of recycling requires the separation of waste materials, which is a time consuming procedure. However, most of the proposed research works found in literature are neither budget-friendly nor effective to be practical in real world applications. In this paper, we propose a solution: a low-cost and effective Smart Recycling Bin that utilizes the power of cloud to assist with waste classification. A centralized Information System (IS) collects measurements from smart bins that are deployed all around the city and classifies the waste of each bin using Artificial Intelligence and neural networks. Our implementation is capable of classifying different types of waste with an accuracy of 93.4% while keeping deployment cost and power consumption very low."
8,10.1109/ICRIS52159.2020.00072,IEEE,ieeexplore,https://ieeexplore.ieee.org/document/9523937/,health,supervised,batch,classification,centralised,design and implementation of sitting posture monitoring system,"In order to remind the sedentary workers to count the health data, a sitting posture monitoring system is designed. The single chip microcomputer collects the sensor array data, uploads the data to the server through Wi Fi, carries on the sensor array data fusion in the server, and the software displays the sitting posture information and the statistical results. The feedforward neural network is used as classifier to recognize nine kinds of sitting posture. The recognition rate is 90.643%. It can prompt the user's sitting posture in real time and count the sitting posture data."
9,10.1016/j.compbiomed.2020.104004,scopus,sciencedirect,https://api.elsevier.com/content/abstract/scopus_id/85091921119,health,supervised,batch,classification,not defined,scalable and energy efficient seizure detection based on direct use of compressively-sensed eeg data on an ultra low power multi-core architecture,"Extracting information from dense multi-channel neural sensors for accurate diagnosis of brain disorders necessitates computationally expensive and advanced signal processing approaches to analyze the massive volume of recorded data. Compressive Sensing (CS) is an efficient method for reducing the computational complexity and power consumption in the resource-constrained multi-site neural systems. However, reconstructing the signal from compressed measurements is computationally intensive, making it unsuitable for real-time applications such as seizure detection. In this paper, a seizure detection algorithm is proposed to overcome these limitations by circumventing the reconstruction phase and directly processing the compressively sampled EEG signals. The Lomb-Scargle Periodogram (LSP) is used to extract the spectral energy features of the compressed data. Performance of the seizure detector using non-linear support vector machine (SVM) classifier, tested on 24 patients of the CHB-MIT data-set for compression ratios (CR) of 1–64x, is 96–93%, 92-87%, 0.95–0.91, and <1 s for sensitivity, accuracy, the area under the curve, and latency, respectively. A power-efficient classification method based on the utilization of dual linear SVM classifiers is proposed. The proposed classification method based on the dual linear SVM classification achieved better classification performance compared to commonly used classifiers, such as K-nearest neighbor, random forest, artificial neural network, and linear SVM, while consuming low power in comparison to non-linear SVM kernels. The hardware-optimized implementation of this algorithm is proposed on a low-power multi-core SoC for near-sensor data analytics: Mr. Wolf. Optimized implementation of this algorithm on Mr. Wolf platform leads to detecting a seizure with an energy budget of 18.4 μJ and 3.9 μJ for a compression ratio of 24x using non-linear SVM classifier and the dual linear SVM based classification method, respectively."
10,10.1109/DASIP.2016.7853831,IEEE,ieeexplore,https://ieeexplore.ieee.org/document/7853831/,multimedia,supervised,batch,classification,centralised,demo: helicoid tool demonstrator for real-time brain cancer detection,"In this paper, a demonstrator of three different elements of the EU FET HELICoiD project is introduced. The goal of this demonstration is to show how the combination of hyperspectral imaging and machine learning can be a potential solution to precise real-time detection of tumor tissues during surgical operations. The HELICoiD setup consists of two hyperspectral cameras, a scanning unit, an illumination system, a data processing system and an EMB01 accelerator platform, which hosts an MPPA-256 manycore chip. All the components are mounted fulfilling restrictions from surgical environments, as shown in the accompanying video recorded at the operating room. An in-vivo human brain hyperspectral image data base, obtained at the University Hospital Doctor Negrin in Las Palmas de Gran Canaria, has been employed as input to different supervised classification algorithms (SVM, RF, NN) and to a spatial-spectral filtering stage (SVM-KNN). The resulting classification maps are shown in this demo. In addition, the implementation of the SVM-KNN classification algorithm on the MPPA EMB01 platform is demonstrated in the live demo."
11,10.1109/RTSS.2018.00029,IEEE,ieeexplore,https://ieeexplore.ieee.org/document/8603205/,industry,not defined,not defined,not defined,hybrid,work-in-progress: making machine learning real-time predictable,"Machine learning (ML) on edge computing devices is becoming popular in the industry as a means to make control systems more intelligent and autonomous. The new trend is to utilize embedded edge devices, as they boast higher computational power and larger memories than before, to perform ML tasks that had previously been limited to cloud-hosted deployments. In this work, we assess the real-time predictability and consider data privacy concerns by comparing traditional cloud services with edge-based ones for certain data analytics tasks. We identify the subset of ML problems appropriate for edge devices by investigating if they result in real-time predictable services for a set of widely used ML libraries. We specifically enhance the Caffe library to make it more suitable for real-time predictability. We then deploy ML models with high accuracy scores on an embedded system, exposing it to industry sensor data from the field, to demonstrates its efficacy and suitability for real-time processing."
12,10.1016/j.apenergy.2021.117853,scopus,sciencedirect,https://api.elsevier.com/content/abstract/scopus_id/85114985028,smart cities,supervised,batch,regression,not defined,transferable representation modelling for real-time energy management of the plug-in hybrid vehicle based on k-fold fuzzy learning and gaussian process regression,"Electric vehicles, including plug-in hybrids, are important for achieving net-zero emission and will dominate road transportation in the future. Energy management, which optimizes the onboard energy usage, is a critical functionality of electric vehicles. It is usually developed following the model-based routine, which is conventionally costly and time-consuming and is hard to meet the increasing market competition in the digital era. To reduce the development workload for the energy management controller, this paper studies an innovative transfer learning routine. A new transferable representation control model is proposed by incorporating two promising artificial intelligence technologies, adaptive neural fuzzy inference system and Gaussian process regression, where the former applies k-fold cross valudation to build a neural fuzzy system for real-time implementation of offline optimization result, and the later connects the neural fuzzy system with a ‘deeper’ architecture to transfer the offline optimization knowledge learnt at source domain to new target domains. By introducing a concept of control utility that evaluates vehicle energy efficiency with a penalty on usage of battery energy, experimental evaluations based on the hardware-in-the-loop testing platform are conducted. Competitive real-time control ultility values (as much as 90% of offline benchmarking results) can be achieved by the proposed control method. They are over 27% higher than that achieved by the neural-network-based model."
13,10.1109/ACCESS.2020.2970178,IEEE,ieeexplore,https://ieeexplore.ieee.org/document/8974224/,health,not defined,not defined,not defined,not defined,a novel software engineering approach toward using machine learning for improving the efficiency of health systems,"Recently, machine learning has become a hot research topic. Therefore, this study investigates the interaction between software engineering and machine learning within the context of health systems. We proposed a novel framework for health informatics: the framework and methodology of software engineering for machine learning in health informatics (SEMLHI). The SEMLHI framework includes four modules (software, machine learning, machine learning algorithms, and health informatics data) that organize the tasks in the framework using a SEMLHI methodology, thereby enabling researchers and developers to analyze health informatics software from an engineering perspective and providing developers with a new road map for designing health applications with system functions and software implementations. Our novel approach sheds light on its features and allows users to study and analyze the user requirements and determine both the function of objects related to the system and the machine learning algorithms that must be applied to the dataset. Our dataset used in this research consists of real data and was originally collected from a hospital run by the Palestine government covering the last three years. The SEMLHI methodology includes seven phases: designing, implementing, maintaining and defining workflows; structuring information; ensuring security and privacy; performance testing and evaluation; and releasing the software applications."
14,10.1016/j.matpr.2020.03.363,scopus,sciencedirect,https://api.elsevier.com/content/abstract/scopus_id/85085555603,industry,supervised,batch,regression,not defined,real-time thermal error compensation strategy for precision machine tools,"Present manufacturing trend is towards producing precision components with better accuracy. Machine errors like geometrical, thermal and process errors affect the component accuracy. Among these errors, thermal error contributes more than 50-60% of the total machining error. This paper mainly focuses on the development of a real-time thermal error compensation module for precision machine tools and talks about effective modeling of thermal errors, development of thermal error compensation model using feed-forward backpropagation neural network and also simplified model using regression analysis technique, algorithm development for real-time compensation and implementation of module onto the open architecture CNC controller. The developed module has been successfully tested on a Diamond Turning Machine (DTM) by machining the precision component and also verified the effectiveness of the module"
15,10.3390/jpm11040244,,core,,health,supervised,batch,classification,centralised,'mdpi ag',"Clinical trials in cancer treatment are imperative in enhancing patients\u2019 survival and quality of life outcomes. The lack of communication among professionals may produce a non-optimization of patients\u2019 accrual in clinical trials. We developed a specific platform, called \u201cDigital Research Assistant\u201d (DRA), to report real-time every available clinical trial and support clinician. Healthcare professionals involved in breast cancer working group agreed nine minimal fields of interest to preliminarily classify the characteristics of patients\u2019 records (including omic data, such as genomic mutations). A progressive web app (PWA) was developed to implement a cross-platform software that was scalable on several electronic devices to share the patients\u2019 records and clinical trials. A specialist is able to use and populate the platform. An AI algorithm helps in the matchmaking between patient\u2019s data and clinical trial\u2019s inclusion criteria to personalize patient enrollment. At the same time, an easy configuration allows the application of the DRA in different oncology working groups (from breast cancer to lung cancer). The DRA might represent a valid research tool supporting clinicians and scientists, in order to optimize the enrollment of patients in clinical trials. User Experience and Technology The acceptance of participants using the DRA is topic of a future analysis"
